          1500000000 0011110111001111	 0 0 1
          2500000000 1000100110010010	 0 0 1
          3500000000 1011101110010000	 0 0 1
          4500000000 1011010011100000	 0 0 1
          5500000000 1110011100011010	 0 0 1
          6500000000 1111111110000000	 0 1 1
          7500000000 0001110110011101	 0 0 1
          8500000000 1100000001111010	 0 0 1
          9500000000 1011110110001011	 0 0 1
         10500000000 1011110010100000	 0 0 1
         11500000000 1011110110011101	 0 0 1
         12500000000 1000101101111100	 0 0 1
         13500000000 1111111110000000	 0 1 1
         14500000000 1011111000001001	 0 0 1
         15500000000 1001100111110001	 0 0 0
         16500000000 1111111110000000	 0 1 1
         17500000000 0111111110000000	 0 1 1
         18500000000 0101101110001101	 0 0 1
         19500000000 0000111010001101	 0 0 1
         20500000000 0011101110000000	 0 0 0
         21500000000 1110001100010010	 0 0 1
         22500000000 1110100011110000	 0 0 1
         23500000000 1100000111111100	 0 0 1
         24500000000 0011001100111011	 0 0 0
         25500000000 0000111010101001	 0 0 1
         26500000000 0010011100011110	 0 0 1
         27500000000 1111010001100101	 0 0 1
         28500000000 1001001100011011	 0 0 1
         29500000000 1101011110101000	 0 0 1
         30500000000 1100010111111010	 0 0 1
         31500000000 0011110101100000	 0 0 1
         32500000000 1011111000010110	 0 0 0
         33500000000 0010000101101110	 0 0 1
         34500000000 0010010111010110	 0 0 1
         35500000000 1111111110000000	 0 1 1
         36500000000 1101000100110010	 0 0 1
         37500000000 0011100000011111	 0 0 1
         38500000000 1001000010010001	 0 0 1
         39500000000 1001011111111001	 0 0 1
         40500000000 1011111100000110	 0 0 1
         41500000000 0111111110000000	 0 1 1
         42500000000 0011111001111100	 0 0 1
         43500000000 1001110111110111	 0 0 1
         44500000000 0000001011000111	 0 0 1
         45500000000 1010101001010011	 0 0 1
         46500000000 0011010010101110	 0 0 1
         47500000000 0111101001011100	 0 0 1
         48500000000 0010001001010110	 0 0 1
         49500000000 1011110000010101	 0 0 1
         50500000000 0110111110110001	 0 0 1
         51500000000 1111111110000000	 0 1 1
