         15000000000 1001100010101010	 0 0 0
         25000000000 0110110001010100	 0 0 1
         35000000000 0100100101110000	 0 0 1
         45000000000 0011000010010101	 0 0 1
         55000000000 0011010010000110	 0 0 1
         65000000000 1010010111011101	 0 0 1
         75000000000 0001110011010000	 0 0 1
         85000000000 1111101100111100	 0 0 1
         95000000000 0100001110011011	 0 0 1
        105000000000 1111111110000000	 0 1 1
        115000000000 1101010011111101	 0 0 1
        125000000000 0010010101010001	 0 0 1
        135000000000 0011111110101010	 0 0 1
        145000000000 0011010100000000	 0 0 1
        155000000000 1001011110101111	 0 0 1
        165000000000 0100001001011100	 0 0 1
        175000000000 0100011110010111	 0 0 1
        185000000000 0110110101101110	 0 0 1
        195000000000 1101011110011010	 0 0 1
        205000000000 1000100100111010	 0 0 0
        215000000000 1100000010011100	 0 0 1
        225000000000 0011111111111100	 0 0 1
        235000000000 0011111010110000	 0 0 1
        245000000000 1110000011110000	 0 0 1
        255000000000 1100011111111000	 0 0 1
        265000000000 0011111101010010	 0 0 1
        275000000000 1100011001010101	 0 0 1
        285000000000 1011111000110110	 0 0 1
        295000000000 0100011001010111	 0 0 1
        305000000000 0111111110000000	 0 1 1
        315000000000 0111111110000000	 0 1 1
        325000000000 1000111101100010	 0 0 1
        335000000000 0100101001011011	 0 0 1
        345000000000 0110001101001011	 0 0 1
        355000000000 1100001000001000	 0 0 0
        365000000000 1011110010110110	 0 0 1
        375000000000 1111000110010010	 0 0 1
        385000000000 1110010010010000	 0 0 1
        395000000000 1110100100001001	 0 0 1
        405000000000 0101011100110000	 0 0 1
        415000000000 0010101010000110	 0 0 1
        425000000000 0011110000011010	 0 0 1
        435000000000 0011110101000110	 0 0 1
        445000000000 0100001000010100	 0 0 1
        455000000000 0010000111100001	 0 0 1
        465000000000 1101001001110010	 0 0 1
        475000000000 0000011010111011	 0 0 1
        485000000000 1110010110011000	 0 0 1
        495000000000 0100101010000110	 0 0 1
        505000000000 0101100001101111	 0 0 1
        515000000000 1111111110000000	 0 1 1
